! BLM18SG221TN1
# Hz S RI R 50
!Freq.(Hz) S11(Real) S11(Imag) S21(Real) S21(Imag) S12(Real) S12(Imag) S22(Real) S22(Imag)
8686058.275897898 0.2713250245245965 0.359403644564639 0.7286749754754034 -0.35940364456463897 0.7286749754754034 -0.35940364456463897 0.2713250245245965 0.359403644564639
8861669.359696563 0.279057140216962 0.3605731159718587 0.7209428597830381 -0.3605731159718587 0.7209428597830381 -0.3605731159718587 0.279057140216962 0.3605731159718587
9040830.87474648 0.28682827563539 0.36154902568316727 0.71317172436461 -0.36154902568316727 0.71317172436461 -0.36154902568316727 0.28682827563539 0.36154902568316727
9223614.602177842 0.29462862955762675 0.36232979978623553 0.7053713704423731 -0.36232979978623553 0.7053713704423731 -0.36232979978623553 0.29462862955762675 0.36232979978623553
9410093.774361636 0.30244832910946023 0.3629145141701989 0.6975516708905397 -0.3629145141701988 0.6975516708905397 -0.3629145141701988 0.30244832910946023 0.3629145141701989
9600343.10425021 0.31027748456942417 0.36330289619143485 0.6897225154305757 -0.36330289619143485 0.6897225154305757 -0.36330289619143485 0.31027748456942417 0.36330289619143485
9794438.815311063 0.31810624376133395 0.36349532082822433 0.681893756238666 -0.3634953208282243 0.681893756238666 -0.3634953208282243 0.31810624376133395 0.36349532082822433
9992458.672065785 0.3259248453955884 0.3634928014555333 0.6740751546044116 -0.3634928014555333 0.6740751546044116 -0.3634928014555333 0.3259248453955884 0.3634928014555333
1.019448201124646E7 0.3337236707504027 0.36329697545391193 0.6662763292495973 -0.36329697545391193 0.6662763292495973 -0.36329697545391193 0.3337236707504027 0.36329697545391193
1.040058977358195E7 0.3414932931259815 0.36291008494265586 0.6585067068740186 -0.3629100849426559 0.6585067068740186 -0.3629100849426559 0.3414932931259815 0.36291008494265586
1.0610864536226831E7 0.34922452455668707 0.3623349529952127 0.6507754754433128 -0.3623349529952127 0.6507754754433128 -0.3623349529952127 0.34922452455668707 0.3623349529952127
1.0825390545845963E7 0.3569084593267749 0.36157495575292964 0.6430915406732252 -0.36157495575292964 0.6430915406732252 -0.36157495575292964 0.3569084593267749 0.36157495575292964
1.1044253752367945E7 0.3645365139023692 0.3606339909005956 0.6354634860976307 -0.3606339909005956 0.6354634860976307 -0.3606339909005956 0.3645365139023692 0.3606339909005956
1.1267541843420997E7 0.37210046296404503 0.35951644300318014 0.6278995370359549 -0.35951644300318014 0.6278995370359549 -0.35951644300318014 0.37210046296404503 0.35951644300318014
1.1495344279465029E7 0.3795924712986394 0.3582271462274404 0.6204075287013606 -0.35822714622744034 0.6204075287013606 -0.35822714622744034 0.3795924712986394 0.3582271462274404
1.1727752329634015E7 0.3870051213837681 0.35677134498474844 0.6129948786162319 -0.3567713449847485 0.6129948786162319 -0.3567713449847485 0.3870051213837681 0.35677134498474844
1.1964859108303014E7 0.39433143657210895 0.35515465303302995 0.605668563427891 -0.3551546530330299 0.605668563427891 -0.3551546530330299 0.39433143657210895 0.35515465303302995
1.2206759612394463E7 0.40156489985315236 0.35338301156681545 0.5984351001468475 -0.35338301156681545 0.5984351001468475 -0.35338301156681545 0.40156489985315236 0.35338301156681545
1.245355075943875E7 0.40869946823634823 0.3514626468060932 0.5913005317636517 -0.35146264680609324 0.5913005317636517 -0.35146264680609324 0.40869946823634823 0.3514626468060932
1.2705331426404243E7 0.4157295828601648 0.3494000275680526 0.5842704171398351 -0.3494000275680526 0.5842704171398351 -0.3494000275680526 0.4157295828601648 0.3494000275680526
1.2962202489312397E7 0.4226501749855946 0.34720182327226057 0.5773498250144055 -0.3472018232722605 0.5773498250144055 -0.3472018232722605 0.4226501749855946 0.34720182327226057
1.3224266863653773E7 0.42945666807939475 0.3448748627906675 0.5705433319206052 -0.3448748627906675 0.5705433319206052 -0.3448748627906675 0.42945666807939475 0.3448748627906675
1.349162954562115E7 0.4361449762314571 0.34242609451051675 0.5638550237685428 -0.3424260945105168 0.5638550237685428 -0.3424260945105168 0.4361449762314571 0.34242609451051675
1.3764397654176315E7 0.44271149918198005 0.339862547932091 0.55728850081802 -0.339862547932091 0.55728850081802 -0.339862547932091 0.44271149918198005 0.339862547932091
1.4042680473967303E7 0.4491531142576615 0.33719129707558837 0.5508468857423385 -0.33719129707558837 0.5508468857423385 -0.33719129707558837 0.4491531142576615 0.33719129707558837
1.4326589499113327E7 0.45546716553223277 0.3344194259234698 0.5445328344677672 -0.3344194259234698 0.5445328344677672 -0.3344194259234698 0.45546716553223277 0.3344194259234698
1.4616238477874959E7 0.46165145053570417 0.3315539960774352 0.5383485494642957 -0.3315539960774352 0.5383485494642957 -0.3315539960774352 0.46165145053570417 0.3315539960774352
1.4911743458227398E7 0.46770420483933123 0.3286020167636967 0.5322957951606687 -0.3286020167636966 0.5322957951606687 -0.3286020167636966 0.46770420483933123 0.3286020167636967
